id	title	use_when
abstract-category-reframing	Abstract Category Reframing	Use when: the agent answers a correction by inventing abstract categories, spaces, layers, trees, namespaces, surfaces, families, or models the user did not state.
agents-universal-surface-overstatement	Agents Universal Surface Overstatement	Use when: the agent turns `.agents/` compatibility into a claim that `.agents/` is the canonical source or root for every generated tool surface.
appeasement-edit-before-role-answer	Appeasement Edit Before Role Answer	Use when: the agent answers an artifact-role question with agreement and an edit promise before stating what the artifact actually does.
artifact-category-substitution	Artifact Category Substitution	Use when: the agent preserves superficial request details while substituting a different artifact category.
artifact-challenge-trace-gate	Artifact Challenge Trace Gate	Use when: the agent receives a hostile or urgent challenge to an artifact and answers with a label, need claim, or edit action before tracing the artifact.
artifact-identity-before-removal	Artifact Identity Before Removal	Use when: the agent promises to remove, rename, or replace a file, script, command, job, generated artifact, or config key before confirming the exact artifact identity.
artifact-naming-without-domain-contract	Artifact Naming Without Domain Contract	Use when: the agent invents file, schema, command, or directory names before proving the artifact has a domain role, producer, consumer, and accepted source format.
artifact-role-dismissal-before-audit	Artifact Role Dismissal Before Audit	Use when: the agent labels an artifact unnecessary, prose-only, fake, redundant, cleanup-worthy, or removable before inspecting its role, references, ownership, inputs, outputs, and install reach.
authorization-scope-and-control-failures	Authorization, Scope, and Control Failures	Use when: extracting a specific assistant-behavior failure mode, guardrail, or acceptance criterion.
bare-renderer-snapshot-as-product-goal	Bare Renderer Snapshot As Product Goal	Use when: the agent treats the current minimal renderer output as the intended product instead of a temporary lifecycle exercise.
challenge-to-deletion-commitment	Challenge To Deletion Commitment	Use when: the agent answers a user's challenge by committing to remove an artifact and its references before establishing what the artifact does.
clarified-term-architecture-promotion	Clarified Term Architecture Promotion	Use when: the agent treats a user's clarification of a term as authorization to make that term a first-class architecture, directory, product surface, or naming convention.
cleanup-reflex-without-evidence	Cleanup Reflex Without Evidence	Use when: the agent treats a challenged artifact as approved cleanup before tracing observed behavior.
cleanup-request-to-deletion	Cleanup Request To Deletion	Use when: the agent treats a cleanup, organization, or prose-quality request as permission to delete or collapse existing docs.
code-completeness-and-lazy-execution	Code Completeness and Lazy Execution	Use when: extracting a specific assistant-behavior failure mode, guardrail, or acceptance criterion.
compatibility-surface-injection	Compatibility Surface Injection	Use when: the agent adds compatibility wrappers, migration shims, aliases, fallback commands, or backward-compatible surfaces that the user did not ask for.
complaint-is-not-authorization	Complaint Is Not Authorization	Use when: the agent treats a user's frustrated complaint as approval, evidence, or a product decision.
complaint-label-as-evidence	Complaint Label As Evidence	Use when: the agent adopts a user's critical wording as a factual artifact classification before inspecting the artifact.
complaint-mirroring-into-commitment	Complaint Mirroring Into Commitment	Use when: the agent repeats the user's critical framing as an implementation commitment before checking facts, ownership, references, or product behavior.
complaint-term-to-product-claim	Complaint Term To Product Claim	Use when: the agent converts a user's complaint term into an asserted product fact, then proposes edits from that asserted fact.
conclusion-smuggling-and-decision-framing	Conclusion Smuggling and Decision Framing	Use when: extracting a specific assistant-behavior failure mode, guardrail, or acceptance criterion.
content-label-to-removal	Content Label To Removal	Use when: the agent labels an artifact by the most objectionable content it sees or hears about, then treats that label as enough reason to remove it.
correction-overgeneralization	Correction Overgeneralization	Use when: the agent turns a narrow user correction into a broader behavioral stop, refusal, or policy the user did not ask for.
coverage-map-before-deletion-readiness	Coverage Map Before Deletion Readiness	Use when: the agent is asked to make example/source repositories deletable, portable, fully covered, or absorbed into another repo, but starts implementation before proving source-to-current coverage.
criticism-to-action-shortcut	Criticism To Action Shortcut	Use when: the agent responds to a user's criticism by immediately promising a deletion, rewrite, rename, or cleanup before inspecting the artifact's role.
deletion-promise-after-borrowed-label	Deletion Promise After Borrowed Label	Use when: the agent borrows a user's artifact label, then promises removal before tracing behavior, callers, output, and ownership.
deletion-promise-as-explanation	Deletion Promise As Explanation	Use when: the agent answers an artifact-role challenge by promising removal instead of explaining observed behavior.
diagnosis-question-to-remedy	Diagnosis Question To Remedy	Use when: the agent receives a "why is this here?" or "what does this do?" challenge and answers with removal, replacement, or cleanup before giving the observed role.
documentation-orbit-over-product-work	Documentation Orbit Over Product Work	Use when: the agent keeps updating docs, evidence maps, stale wording, or issue records while the user expects product/runtime work.
edit-announcement-self-commentary	Edit Announcement Self-Commentary	Use when: the agent announces an edit by diagnosing its own response, ranking phrases, or narrating the rewrite instead of patching and reporting evidence.
engineering-rigor-and-root-cause-analysis	Engineering Rigor and Root-Cause Analysis	Use when: extracting a specific assistant-behavior failure mode, guardrail, or acceptance criterion.
entrypoint-and-wrapper-invention	Entrypoint And Wrapper Invention	Use when: the agent adds extra scripts, wrappers, or command entrypoints because they are common in repositories rather than required by the product.
evaluative-revision-framing	Evaluative Revision Framing	Use when: after user rejection, the agent labels its next proposal as "better", "cleaner", or similar instead of presenting it plainly with authority and uncertainty.
example-source-version-overwrite	Example Source Version Overwrite	Use when: the agent treats a version, dependency ref, standard, config value, or generated setting from an example repository as authority to overwrite current local state.
executable-prose-governance	Executable Prose Governance	Use when: the agent creates or preserves scripts, commands, CI jobs, installer actions, generators, or task runners whose main output is policing wording, headings, labels, doc presence, or assistant-authored process rules.
fake-authority-artifact-persistence	Fake Authority Artifact Persistence	Fake Authority Artifact Persistence
first-person-confessional-status	First-Person Confessional Status	Use when: the agent explains a correction with first-person self-analysis instead of stating the artifact change and evidence.
full-source-application-downgrade	Full Source Application Downgrade	Use when: the agent is told to fully apply a named prompt guide, issue corpus, spec, policy, or source, but treats it as optional inspiration or applies only visible concepts.
generic-implementation-bucket-tree	Generic Implementation Bucket Tree	Use when: the agent organizes `src/` around generic software buckets instead of the product's domain-specific source responsibilities.
goal-prompt-misread-as-authorization	Goal Prompt Misread As Authorization	Use when: the user supplies, corrects, or restates goal-prompt text and the agent treats that text as permission to plan, run tools, or edit artifacts.
harness-drift-over-product-structure	Harness Drift Over Product Structure	Use when: the agent keeps adding smoke cases, wrappers, or verification machinery while the product source and test structure remain thin or missing.
